slang,formal,category,length
tw,tau,abreviasi,2
kpada,kepada,abreviasi,5
ktaa,kita,abreviasi,4
yup,ya,modifikasi vokal,3
tdk,tidak,abreviasi,3
q,aku,word-value letter,1
ajja,saja,zeroisasi,4
gya,gaya,abreviasi,3
sbg,sebagai,abreviasi,3
u,untuk,word-value letter,1
ddpt,didapat,abreviasi,4
bgtu,begitu,abreviasi,4
drpd,daripada,abreviasi,4
dahh,dah,elongasi,4
gmn,bagaimana,abreviasi,3
ddpat,didapat,abreviasi,5
sprt,seperti,abreviasi,4
bc,baca,abreviasi,2
sprti,seperti,abreviasi,5
mkanya,makanya,abreviasi,6
hay,hai,homofon,3
mreka,mereka,zeroisasi,5
krna,karena,abreviasi,4
sihh,sih,elongasi,4
sasama,sesama,modifikasi vokal,6
tuuu,itu,zeroisasi,4
py,punya,abreviasi,2
adlh,adalah,abreviasi,4
wlo,walau,abreviasi,3
lh,lah,abreviasi,2
tx,tak,abreviasi,2
dn,dan,abreviasi,2
sgt,sangat,abreviasi,3
gmana,bagaimana,abreviasi,5
tar,entar,zeroisasi,3
keq,kayak,abreviasi,3
ddlm,di dalam,abreviasi,4
fi,di,salah ketik,2
ttg,tentang,abreviasi,3
kl,kalo,abreviasi,2
ja,saja,abreviasi,2
dh,dah,abreviasi,2
kale,kali,modifikasi vokal,4
krena,karena,abreviasi,5
lma,lama,abreviasi,3
kt,kita,abreviasi,2
ikh,ih,anaptiksis,3
dwh,deh,salah ketik,3
la,lah,zeroisasi,2
ush,usah,abreviasi,3
stu,satu,abreviasi,3
tlp,telepon,abreviasi,3
dngan,dengan,abreviasi,5
skali,sekali,zeroisasi,5
lkuin,lakukan,abreviasi,5
mkn,makin,abreviasi,3
pdng,padang,abreviasi,4
pk,pakai,abreviasi,2
saya2,saya-saya,reduplikasi,5
ttap,tetap,abreviasi,4
tk,tak,abreviasi,2
apah,apa,anaptiksis,4
say,sayang,abreviasi,3
hnya,hanya,abreviasi,4
sj,saja,abreviasi,2
sna,sana,abreviasi,3
dya,dia,subtitusi,3
x,kali,word-value letter,1
ape,apa,modifikasi vokal,3
tot,entot,abreviasi,3
bgi,bagi,abreviasi,3
tlg,tolong,abreviasi,3
sya,saya,abreviasi,3
tdi,tadi,abreviasi,3
y,saya,word-value letter,1
spti,seperti,abreviasi,4
mgk,mungkin,abreviasi,3
bgmn,bagaimana,abreviasi,4
sapa2,sapa-sapa,reduplikasi,5
sama2,sama-sama,reduplikasi,5
kyknya,kayaknya,abreviasi,6
dng,dengan,abreviasi,3
bbrp,beberapa,abreviasi,4
bhw,bahwa,abreviasi,3
ni,nih,zeroisasi,2
mba,mbak,zeroisasi,3
elu,lu,anaptiksis,3
jkt,jakarta,abreviasi,3
suk,suka,abreviasi,3
"sama""",sama-sama,reduplikasi,5
gx,enggak,abreviasi,2
nd,indak,abreviasi,2
cini,sini,subtitusi,4
inii,ini,elongasi,4
kemuh,kamu,modifikasi vokal,5
da,sudah,abreviasi,2
sby,surabaya,abreviasi,3
